City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,brandon,27.9378,-82.2859,307.58,75,0,2.57,US,1690916578
339,gamba,-2.65,10.0,294.24,84,100,3.02,GA,1690916822
340,achikulak,44.5517,44.8378,298.85,49,0,5.2,RU,1690916823
341,kalix,65.853,23.1565,288.31,84,62,3.21,SE,1690916824
342,thief river falls,48.1191,-96.1812,303.68,74,40,6.17,US,1690916824
343,pudasjarvi,65.3833,26.9167,288.76,88,76,2.64,FI,1690916825
344,sinabang,2.4803,96.3801,298.46,85,100,1.1,ID,1690916826
345,selfoss,63.9331,-20.9971,287.08,77,52,3.76,IS,1690916528
346,la paz,-16.5,-68.15,287.14,20,20,4.63,BO,1690916741
347,civril,38.3014,29.7386,295.88,51,12,1.48,TR,1690916828
348,kingston,17.997,-76.7936,308.28,69,20,11.32,JM,1690916528
349,bojia,26.4672,111.9681,297.87,95,100,0.47,CN,1690916739
350,arris,35.2588,6.3471,300.82,25,33,2.3,DZ,1690916830
351,roma,43.2128,-75.4557,296.38,48,100,2.57,US,1690916530
352,ulladulla,-35.35,150.4667,286.42,83,100,1.38,AU,1690916832
353,guerrero negro,27.9769,-114.0611,302.19,49,18,5.43,MX,1690916833
354,ulaangom,49.9811,92.0667,292.83,59,90,0.73,MN,1690916833
355,khandyga,62.6667,135.6,282.33,88,53,1.53,RU,1690916834
356,ola,59.5833,151.2833,284.83,80,11,2.74,RU,1690916835
357,cardigan,52.0847,-4.6591,289.11,90,100,5.75,GB,1690916836
358,aykhal,66.0,111.5,286.08,61,19,1.41,RU,1690916836
359,kamaishi,39.2667,141.8833,296.23,84,86,2.73,JP,1690916839
360,ixtapa-zihuatanejo,17.6333,-101.55,304.2,66,75,3.09,MX,1690916839
361,agat village,13.3886,144.6585,300.67,92,0,2.06,GU,1690916840
362,nar'yan-mar,67.6713,53.087,293.46,73,94,3.47,RU,1690916840
